#scalar perturbations for mode k = 1.000000000000e-01 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_ncdm[0]         19:theta_ncdm[0]         20:shear_ncdm[0]         21:cs2_ncdm[0]           22:delta_ncdm[1]         23:theta_ncdm[1]         24:shear_ncdm[1]         25:cs2_ncdm[1]        
       1.433457019227e-01       3.095736724354e-07      -1.201830854550e+00       4.305473179833e-04       3.235942372766e-11       8.089855931914e-11       3.420162406694e-19       1.617971186383e-11      -9.013731409126e-01       4.305473179833e-04       6.010755746525e-01       6.995525768981e-01      -1.201830854549e+00       4.305433825936e-04       8.232428274000e-06      -9.013731409138e-01       4.305554968252e-04      -6.854953551779e-05      -1.212672586878e-08       8.240918978639e-06       3.333333330399e-01      -6.852732219853e-05      -1.213184137530e-08       8.232113972614e-06       3.328348107946e-01 
       1.434441203207e-01       3.097862756678e-07      -1.201831523249e+00       4.308430402574e-04       3.242614188446e-11       8.106535471114e-11       3.431923017062e-19       1.621307094223e-11      -9.013736424367e-01       4.308430402574e-04       6.010755159645e-01       6.995524238528e-01      -1.201831523248e+00       4.308390967553e-04       8.243731675125e-06      -9.013736424387e-01       4.308512359552e-04      -6.864367117992e-05      -1.215171991964e-08       8.252234027486e-06       3.333333330395e-01      -6.862135615393e-05      -1.215679611911e-08       8.243399913494e-06       3.328341263649e-01 
       1.435425387188e-01       3.099988789771e-07      -1.201832190207e+00       4.311387620181e-04       3.249295166109e-11       8.123237915272e-11       3.443715956628e-19       1.624647583054e-11      -9.013741426553e-01       4.311387620181e-04       6.010754575479e-01       6.995522712525e-01      -1.201832190205e+00       4.311348103924e-04       8.255042837044e-06      -9.013741426580e-01       4.311469745948e-04      -6.873787142825e-05      -1.217674827644e-08       8.263556842623e-06       3.333333330391e-01      -6.871545443095e-05      -1.218178504604e-08       8.254693554000e-06       3.328334414666e-01 
       1.436409571168e-01       3.102114823632e-07      -1.201832856751e+00       4.314344837729e-04       3.255985315865e-11       8.139963289664e-11       3.455541296061e-19       1.627992657933e-11      -9.013746425636e-01       4.314344837729e-04       6.010753991061e-01       6.995521187652e-01      -1.201832856749e+00       4.314305240124e-04       8.266361759734e-06      -9.013746425671e-01       4.314427132517e-04      -6.883213629873e-05      -1.220181096907e-08       8.274887428374e-06       3.333333330387e-01      -6.880961706509e-05      -1.220680818569e-08       8.265994898351e-06       3.328327560997e-01 
       1.437393755149e-01       3.104240858262e-07      -1.201833524672e+00       4.317302062084e-04       3.262684649200e-11       8.156711623001e-11       3.467399107605e-19       1.631342324600e-11      -9.013751435042e-01       4.317302062084e-04       6.010753402388e-01       6.995519659435e-01      -1.201833524669e+00       4.317262383019e-04       8.277688443198e-06      -9.013751435086e-01       4.317384526125e-04      -6.892646584058e-05      -1.222690802980e-08       8.286225790668e-06       3.333333330383e-01      -6.890384410509e-05      -1.223186557006e-08       8.277303952371e-06       3.328320702642e-01 
       1.442563602769e-01       3.115408777782e-07      -1.201837034899e+00       4.332836180310e-04       3.298026777545e-11       8.245066943862e-11       3.530223224105e-19       1.649013388772e-11      -9.013777761746e-01       4.332836180310e-04       6.010750287212e-01       6.995511629199e-01      -1.201837034894e+00       4.332796071512e-04       8.337314152546e-06      -9.013777761833e-01       4.332919537236e-04      -6.942303366901e-05      -1.235930634870e-08       8.345913038520e-06       3.333333330362e-01      -6.939986912329e-05      -1.236405343479e-08       8.336836143979e-06       3.328284599232e-01 
       1.447733450389e-01       3.126576718502e-07      -1.201840493523e+00       4.348370141059e-04       3.333623135087e-11       8.334057837717e-11       3.593954648835e-19       1.666811567543e-11      -9.013803701424e-01       4.348370141059e-04       6.010747255862e-01       6.995503730648e-01      -1.201840493515e+00       4.348329599435e-04       8.397154006489e-06      -9.013803701554e-01       4.348454397289e-04      -6.992138350223e-05      -1.249265661787e-08       8.405814568090e-06       3.333333330340e-01      -6.989766875511e-05      -1.249718979798e-08       8.396580755917e-06       3.328248366519e-01 
       1.452903298009e-01       3.137744680421e-07      -1.201843950541e+00       4.363904136053e-04       3.369474779881e-11       8.423686949701e-11       3.658603334056e-19       1.684737389940e-11      -9.013829629058e-01       4.363904136053e-04       6.010744197052e-01       6.995495838789e-01      -1.201843950530e+00       4.363863158503e-04       8.457208004386e-06      -9.013829629232e-01       4.363989298031e-04      -7.042151671205e-05      -1.262696249606e-08       8.465930544823e-06       3.333333330319e-01      -7.039724431200e-05      -1.263127827817e-08       8.456537939328e-06       3.328212004506e-01 
       1.458073145630e-01       3.148912663541e-07      -1.201847358062e+00       4.379437978625e-04       3.405582479942e-11       8.513956199855e-11       3.724178989635e-19       1.702791239971e-11      -9.013855185465e-01       4.379437978625e-04       6.010741218636e-01       6.995488073349e-01      -1.201847358048e+00       4.379396562035e-04       8.517476144961e-06      -9.013855185683e-01       4.379524052816e-04      -7.092343192985e-05      -1.276222715288e-08       8.526260804349e-06       3.333333330297e-01      -7.089859436930e-05      -1.276632200456e-08       8.516707516071e-06       3.328175513196e-01 
       1.463242993250e-01       3.160080667860e-07      -1.201850763543e+00       4.394971852019e-04       3.441947288873e-11       8.604868222182e-11       3.790691706018e-19       1.720973644436e-11      -9.013880726570e-01       4.394971852019e-04       6.010738214992e-01       6.995480315687e-01      -1.201850763526e+00       4.394929993265e-04       8.577958427536e-06      -9.013880726833e-01       4.395058844913e-04      -7.142713047572e-05      -1.289845423948e-08       8.586805505858e-06       3.333333330276e-01      -7.140172018635e-05      -1.290232458744e-08       8.577089630939e-06       3.328138892594e-01 
