#scalar perturbations for mode k = 1.000000000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_ncdm[0]         19:theta_ncdm[0]         20:shear_ncdm[0]         21:cs2_ncdm[0]           22:delta_ncdm[1]         23:theta_ncdm[1]         24:shear_ncdm[1]         25:cs2_ncdm[1]        
       1.407752789828e-01       3.092918733420e-07      -1.195626995195e+00       4.207621885155e-06       3.162845214456e-13       7.907113036139e-13       3.343376583510e-22       1.581422607228e-13      -8.967202463966e-01       4.207621885155e-06       5.982127790006e-01       7.010933499739e-01      -1.195626995195e+00       4.207621514198e-06       7.901817347680e-08      -8.967202463966e-01       4.207622659929e-06      -6.612494608753e-07      -1.146912787352e-12       7.909967074239e-08       3.333333330404e-01      -6.610360929301e-07      -1.147402844219e-12       7.901537278218e-08       3.328357172634e-01 
       1.407866911467e-01       3.093169480108e-07      -1.195627058587e+00       4.207963179305e-06       3.163614655004e-13       7.909036637510e-13       3.344732199875e-22       1.581807327502e-13      -8.967202939406e-01       4.207963179305e-06       5.982127733334e-01       7.010933341418e-01      -1.195627058587e+00       4.207962808258e-06       7.903097914508e-08      -8.967202939406e-01       4.207963954268e-06      -6.613566537241e-07      -1.147191751421e-12       7.911248961792e-08       3.333333330404e-01      -6.611431703785e-07      -1.147681370958e-12       7.902815877728e-08       3.328356366385e-01 
       1.407981033105e-01       3.093420226799e-07      -1.195627122159e+00       4.208304474111e-06       3.164384220831e-13       7.910960552076e-13       3.346088256457e-22       1.582192110415e-13      -8.967203416191e-01       4.208304474111e-06       5.982127676233e-01       7.010933182650e-01      -1.195627122159e+00       4.208304102973e-06       7.904378584804e-08      -8.967203416191e-01       4.208305249262e-06      -6.614638552240e-07      -1.147470760520e-12       7.912530952832e-08       3.333333330404e-01      -6.612502564427e-07      -1.147959942567e-12       7.904094579836e-08       3.328355560072e-01 
       1.408477667066e-01       3.094511424994e-07      -1.195627445816e+00       4.209789884892e-06       3.167734791574e-13       7.919336978934e-13       3.351994791451e-22       1.583867395787e-13      -8.967205843620e-01       4.209789884892e-06       5.982127320897e-01       7.010932374204e-01      -1.195627445816e+00       4.209789513362e-06       7.909952923638e-08      -8.967205843620e-01       4.209790660863e-06      -6.619304681608e-07      -1.148685440275e-12       7.918111039414e-08       3.333333330401e-01      -6.617163666159e-07      -1.149172716641e-12       7.909660343396e-08       3.328352050402e-01 
       1.408974301027e-01       3.095602623239e-07      -1.195627792757e+00       4.211275378267e-06       3.171087788916e-13       7.927719472290e-13       3.357909730575e-22       1.585543894458e-13      -8.967208445674e-01       4.211275378267e-06       5.982126912306e-01       7.010931507550e-01      -1.195627792757e+00       4.211275006343e-06       7.915529186429e-08      -8.967208445674e-01       4.211276155059e-06      -6.623972419503e-07      -1.149900957577e-12       7.923693050361e-08       3.333333330399e-01      -6.621826369710e-07      -1.150386325237e-12       7.915228014518e-08       3.328348539498e-01 
       1.409470934987e-01       3.096693821536e-07      -1.195628146031e+00       4.212760894615e-06       3.174443168896e-13       7.936107922241e-13       3.363833035328e-22       1.587221584448e-13      -8.967211095229e-01       4.212760894615e-06       5.982126488876e-01       7.010930625062e-01      -1.195628146031e+00       4.212760522297e-06       7.921107403708e-08      -8.967211095229e-01       4.212761672229e-06      -6.628641791586e-07      -1.151117325997e-12       7.929277016425e-08       3.333333330397e-01      -6.626490700729e-07      -1.151600781900e-12       7.920797623909e-08       3.328345027360e-01 
       1.409967568948e-01       3.097785019884e-07      -1.195628499732e+00       4.214246413166e-06       3.177800916725e-13       7.944502291812e-13       3.369764698012e-22       1.588900458362e-13      -8.967213747993e-01       4.214246413166e-06       5.982126063993e-01       7.010929741505e-01      -1.195628499732e+00       4.214246040455e-06       7.926687586248e-08      -8.967213747993e-01       4.214247191602e-06      -6.633312807106e-07      -1.152334550560e-12       7.934862948686e-08       3.333333330395e-01      -6.631156668454e-07      -1.152816091640e-12       7.926369182625e-08       3.328341513988e-01 
       1.411384341901e-01       3.100897937181e-07      -1.195629504260e+00       4.218484215749e-06       3.187392736565e-13       7.968481841413e-13       3.386732244050e-22       1.593696368283e-13      -8.967221281953e-01       4.218484215749e-06       5.982124859637e-01       7.010927232176e-01      -1.195629504260e+00       4.218483841914e-06       7.942617270044e-08      -8.967221281953e-01       4.218484996534e-06      -6.646647096496e-07      -1.155811703897e-12       7.950809044156e-08       3.333333330389e-01      -6.644476520701e-07      -1.156287765585e-12       7.942274181091e-08       3.328331484432e-01 
       1.412801114855e-01       3.104010854896e-07      -1.195630508247e+00       4.222722023412e-06       3.197003842854e-13       7.992509607136e-13       3.403768075653e-22       1.598501921427e-13      -8.967228811852e-01       4.222722023412e-06       5.982123652770e-01       7.010924724203e-01      -1.195630508247e+00       4.222721648449e-06       7.958562964357e-08      -8.967228811852e-01       4.222722806550e-06      -6.659994789487e-07      -1.159295844240e-12       7.966771175634e-08       3.333333330383e-01      -6.657809721589e-07      -1.159766401475e-12       7.958195077813e-08       3.328321444833e-01 
       1.414217887808e-01       3.107123773029e-07      -1.195631514863e+00       4.226959848169e-06       3.206634264096e-13       8.016585660241e-13       3.420872408483e-22       1.603317132048e-13      -8.967236361471e-01       4.226959848169e-06       5.982122436276e-01       7.010922209659e-01      -1.195631514863e+00       4.226959472076e-06       7.974524669686e-08      -8.967236361471e-01       4.226960633665e-06      -6.673355895568e-07      -1.162786980199e-12       7.982749354506e-08       3.333333330378e-01      -6.671156280467e-07      -1.163252007839e-12       7.974131883862e-08       3.328311395192e-01 
