#scalar perturbations for mode k = 1.000000000000e-03 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_ncdm[0]         19:theta_ncdm[0]         20:shear_ncdm[0]         21:cs2_ncdm[0]           22:delta_ncdm[1]         23:theta_ncdm[1]         24:shear_ncdm[1]         25:cs2_ncdm[1]        
       1.409092853847e-01       3.095863106096e-07      -1.195624351208e+00       4.211620646979e-08       3.171881509260e-15       7.929703773149e-15       3.359315487457e-25       1.585940754630e-15      -8.967182634060e-01       4.211620646979e-08       5.982133918679e-01       7.010939131876e-01      -1.195624351208e+00       4.211620643259e-08       7.916866197960e-10      -8.967182634060e-01       4.211620654749e-08      -6.625091612002e-09      -1.150193694695e-16       7.925031439907e-10       3.333333330399e-01      -6.622944357931e-09      -1.150678601820e-16       7.916562972488e-10       3.328347701218e-01 
       1.410547039504e-01       3.099058225898e-07      -1.195622398141e+00       4.215959827598e-08       3.181706710636e-15       7.954266776591e-15       3.376680388806e-25       1.590853355318e-15      -8.967167986058e-01       4.215959827598e-08       5.982139455184e-01       7.010944014564e-01      -1.195622398141e+00       4.215959823866e-08       7.933211929464e-10      -8.967167986058e-01       4.215959835392e-08      -6.638774209949e-09      -1.153760693924e-16       7.941394013643e-10       3.333333330393e-01      -6.636612170037e-09      -1.154239988179e-16       7.932883443517e-10       3.328337413040e-01 
       1.412001225161e-01       3.102253346141e-07      -1.195620492213e+00       4.220299159568e-08       3.191552296051e-15       7.978880740128e-15       3.394117149432e-25       1.595776148026e-15      -8.967153691594e-01       4.220299159568e-08       5.982144885352e-01       7.010948779406e-01      -1.195620492213e+00       4.220299155824e-08       7.949574423738e-10      -8.967153691594e-01       4.220299167386e-08      -6.652470857990e-09      -1.157335025047e-16       7.957773367255e-10       3.333333330387e-01      -6.650293974429e-09      -1.157808680112e-16       7.949220549573e-10       3.328327114281e-01 
       1.418283179642e-01       3.116055990380e-07      -1.195619906587e+00       4.239071647690e-08       3.234338351848e-15       8.085845879620e-15       3.470294208558e-25       1.617169175924e-15      -8.967149299404e-01       4.239071647690e-08       5.982150990851e-01       7.010950243558e-01      -1.195619906587e+00       4.239071643896e-08       8.020438888532e-10      -8.967149299404e-01       4.239071655613e-08      -6.711789906918e-09      -1.172854639028e-16       8.028710956742e-10       3.333333330361e-01      -6.709548236125e-09      -1.173303638838e-16       8.019973974941e-10       3.328282502976e-01 
       1.424565134122e-01       3.129858642856e-07      -1.195623128027e+00       4.257857654909e-08       3.277515525834e-15       8.193788814586e-15       3.547844235392e-25       1.638757762917e-15      -8.967173460201e-01       4.257857654909e-08       5.982148416927e-01       7.010942190047e-01      -1.195623128027e+00       4.257857651065e-08       8.091610953089e-10      -8.967173460201e-01       4.257857662938e-08      -6.771366395190e-09      -1.188509242561e-16       8.099956402722e-10       3.333333330334e-01      -6.769058847206e-09      -1.188933092032e-16       8.091032528743e-10       3.328237694238e-01 
       1.430847088602e-01       3.143661303583e-07      -1.195627433954e+00       4.276647628111e-08       3.321078361953e-15       8.302695904882e-15       3.626777904341e-25       1.660539180976e-15      -8.967205754658e-01       4.276647628111e-08       5.982143317688e-01       7.010931425318e-01      -1.195627433954e+00       4.276647624216e-08       8.163095665105e-10      -8.967205754658e-01       4.276647636247e-08      -6.831204527930e-09      -1.204301567061e-16       8.171514838179e-10       3.333333330308e-01      -6.828830000756e-09      -1.204699760143e-16       8.162401313023e-10       3.328192688075e-01 
       1.437129043082e-01       3.157463972576e-07      -1.195631871264e+00       4.295438195212e-08       3.365025987656e-15       8.412564969141e-15       3.707110828370e-25       1.682512993828e-15      -8.967239034479e-01       4.295438195212e-08       5.982137848724e-01       7.010920332134e-01      -1.195631871264e+00       4.295438191265e-08       8.234894808447e-10      -8.967239034479e-01       4.295438203455e-08      -6.891305775869e-09      -1.220232978756e-16       8.243388061413e-10       3.333333330281e-01      -6.888863156351e-09      -1.220605000750e-16       8.234082098559e-10       3.328147484497e-01 
       1.453110647235e-01       3.192578685281e-07      -1.195641855449e+00       4.343238140554e-08       3.478571717978e-15       8.696429294944e-15       3.917910591734e-25       1.739285858989e-15      -8.967313915865e-01       4.343238140554e-08       5.982126788705e-01       7.010895371902e-01      -1.195641855449e+00       4.343238136474e-08       8.418974582960e-10      -8.967313915865e-01       4.343238149075e-08      -7.045393731660e-09      -1.261396592493e-16       8.427657649015e-10       3.333333330213e-01      -7.042772790282e-09      -1.261699654906e-16       8.417849376072e-10       3.328031594432e-01 
       1.469092251388e-01       3.227693451817e-07      -1.195651426903e+00       4.391037270722e-08       3.594642829327e-15       8.986607073317e-15       4.138192092770e-25       1.797321414663e-15      -8.967385701773e-01       4.391037270722e-08       5.982116267030e-01       7.010871443499e-01      -1.195651426903e+00       4.391037266506e-08       8.605091432960e-10      -8.967385701773e-01       4.391037279527e-08      -7.201186312004e-09      -1.303475572268e-16       8.613966492956e-10       3.333333330144e-01      -7.198379596887e-09      -1.303706170430e-16       8.603637280417e-10       3.327914426849e-01 
       1.485073855541e-01       3.262808272425e-07      -1.195660698011e+00       4.438835942185e-08       3.713267372049e-15       9.283168430122e-15       4.368271978258e-25       1.856633686024e-15      -8.967455235086e-01       4.438835942185e-08       5.982106016564e-01       7.010848265963e-01      -1.195660698011e+00       4.438835937829e-08       8.793245367599e-10      -8.967455235086e-01       4.438835951280e-08      -7.358683405431e-09      -1.346479734243e-16       8.802314456677e-10       3.333333330074e-01      -7.355683285516e-09      -1.346634239129e-16       8.791445244549e-10       3.327795981889e-01 
